tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight
CB1-1a		CB1-1																	This study	LP-NOMAG			
CB1-1a	CB1-1a_LP-DIR-T	CB1-1		ht	329.7	67.3	3.0	13.0	-1.0	1.8	15.1	963.0	883.0	K		hargrave 2021-12-03 19:33:13	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CB1-1a	CB1-1a_LP-DIR-T	CB1-1		lt	3.2	67.7	3.0	4.0	0.0	43.5	1.6	573.0	273.0	K		hargrave 2021-12-03 19:33:13	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CB1-1a	CB1-1a_LP-DIR-T	CB1-1		mt	245.6	40.4	3.0	14.0	0.0	0.0	0.6	855.0	773.0	K		hargrave 2021-12-03 19:33:13	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		
CB1-1a	CB1-1a_LP-DIR-T	CB1-1		ht	243.8	37.3	3.0	13.0	0.0	1.8	15.1	963.0	883.0	K		hargrave 2021-12-03 19:33:13	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CB1-1a	CB1-1a_LP-DIR-T	CB1-1		lt	11.2	48.6	3.0	4.0	100.0	43.5	1.6	573.0	273.0	K		hargrave 2021-12-03 19:33:13	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CB1-1a	CB1-1a_LP-DIR-T	CB1-1		mt	262.3	52.7	3.0	14.0	100.0	0.0	0.6	855.0	773.0	K		hargrave 2021-12-03 19:33:13	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		
CB1-1a	CB1-1a_LP-DIR-T	CB1-1		ht	258.4	50.3	3.0	13.0	100.0	1.8	15.1	963.0	883.0	K		hargrave 2021-12-03 19:33:13	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CB1-1a	CB1-1a_LP-DIR-T	CB1-1		mt	330.3	70.7	3.0	14.0	-1.0	0.0	0.6	855.0	773.0	K		hargrave 2021-12-03 19:33:13	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		
CB1-1a	CB1-1a_LP-DIR-T	CB1-1		lt	147.5	47.0	3.0	4.0	-1.0	43.5	1.6	573.0	273.0	K		hargrave 2021-12-03 19:33:13	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CB1-2a	CB1-2a_LP-DIR-T	CB1-2		lt	150.4	0.7	3.0	4.0	-1.0	38.1	4.1	573.0	273.0	K		hargrave 2021-11-30 10:41:40	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CB1-2a	CB1-2a_LP-DIR-T	CB1-2		lt	357.3	37.9	3.0	4.0	100.0	38.1	4.1	573.0	273.0	K		hargrave 2021-11-30 10:41:40	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CB1-2a	CB1-2a_LP-DIR-T	CB1-2		ht	253.0	45.1	3.0	8.0	0.0	5.1	11.9	943.0	883.0	K		hargrave 2021-11-30 10:41:40	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CB1-2a	CB1-2a_LP-DIR-T	CB1-2		mt	253.9	45.0	3.0	14.0	0.0	0.0	1.5	855.0	773.0	K		hargrave 2021-11-30 10:41:40	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		
CB1-2a	CB1-2a_LP-DIR-T	CB1-2		lt	347.0	55.2	3.0	4.0	0.0	38.1	4.1	573.0	273.0	K		hargrave 2021-11-30 10:41:40	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
CB1-2a	CB1-2a_LP-DIR-T	CB1-2		ht	145.4	57.0	3.0	8.0	-1.0	5.1	11.9	943.0	883.0	K		hargrave 2021-11-30 10:41:40	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CB1-2a	CB1-2a_LP-DIR-T	CB1-2		mt	144.5	56.6	3.0	14.0	-1.0	0.0	1.5	855.0	773.0	K		hargrave 2021-11-30 10:41:40	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		
CB1-2a	CB1-2a_LP-DIR-T	CB1-2		mt	274.8	54.3	3.0	14.0	100.0	0.0	1.5	855.0	773.0	K		hargrave 2021-11-30 10:41:40	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		
CB1-2a	CB1-2a_LP-DIR-T	CB1-2		ht	273.9	54.6	3.0	8.0	100.0	5.1	11.9	943.0	883.0	K		hargrave 2021-11-30 10:41:40	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
CB1-2a		CB1-2																	This study	LP-NOMAG			
CB1-3a	CB1-3a_LP-DIR-T	CB1-3		ht	97.8	52.7	3.0	8.0	-1.0	2.6	6.6	943.0	883.0	K		hargrave 2021-11-30 10:43:09	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
CB1-3a	CB1-3a_LP-DIR-T	CB1-3		lt	3.8	67.6	3.0	4.0	0.0	41.7	4.1	573.0	273.0	K		hargrave 2021-11-30 10:43:09	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
