tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
UI1-1a	UI1-1		This study	LP-NOMAG		
UI1-2a	UI1-2		This study	LP-NOMAG		
UI1-3a	UI1-3		This study	LP-NOMAG		
UI1-4a	UI1-4		This study	LP-NOMAG		
UI1-5a	UI1-5		This study	LP-NOMAG		
UI1-6a	UI1-6		This study	LP-NOMAG		
UI1-7a	UI1-7		This study	LP-NOMAG		
UI1-8a	UI1-8		This study	LP-NOMAG		
UI2-1a	UI2-1		This study	LP-NOMAG		
UI2-2a	UI2-2		This study	LP-NOMAG		
UI2-3a	UI2-3		This study	LP-NOMAG		
UI2-4a	UI2-4		This study	LP-NOMAG		
UI2-5a	UI2-5		This study	LP-NOMAG		
UI2-6a	UI2-6		This study	LP-NOMAG		
UI2-7a	UI2-7		This study	LP-NOMAG		
UI2-8a	UI2-8		This study	LP-NOMAG		
UI3-1a	UI3-1		This study	LP-NOMAG		
UI3-2a	UI3-2		This study	LP-NOMAG		
UI3-3a	UI3-3		This study	LP-NOMAG		
UI3-4a	UI3-4		This study	LP-NOMAG		
UI3-5a	UI3-5		This study	LP-NOMAG		
UI3-6a	UI3-6		This study	LP-NOMAG		
UI3-7a	UI3-7		This study	LP-NOMAG		
UI3-8a	UI3-8		This study	LP-NOMAG		
UI4-1a	UI4-1		This study	LP-NOMAG		
UI4-2a	UI4-2		This study	LP-NOMAG		
UI4-3a	UI4-3		This study	LP-NOMAG		
UI4-4a	UI4-4		This study	LP-NOMAG		
UI4-5a	UI4-5		This study	LP-NOMAG		
UI4-7a	UI4-7		This study	LP-NOMAG		
UI4-8a	UI4-8		This study	LP-NOMAG		
UI5-1a	UI5-1		This study	LP-NOMAG		
UI5-2a	UI5-2		This study	LP-NOMAG		
UI5-3a	UI5-3		This study	LP-NOMAG		
UI5-4a	UI5-4		This study	LP-NOMAG		
UI5-5a	UI5-5		This study	LP-NOMAG		
UI5-6a	UI5-6		This study	LP-NOMAG		
UI5-7a	UI5-7		This study	LP-NOMAG		
UI5-8a	UI5-8		This study	LP-NOMAG		
CBS1-1a	CBS1-1		This study	LP-NOMAG		
CBS1-2a	CBS1-2		This study	LP-NOMAG		
CBS1-3a	CBS1-3		This study	LP-NOMAG		
CBS1-4a	CBS1-4		This study	LP-NOMAG		
CBS1-5a	CBS1-5		This study	LP-NOMAG		
CBS1-6a	CBS1-6		This study	LP-NOMAG		
CBS1-7a	CBS1-7		This study	LP-NOMAG		
CB1-1a	CB1-1		This study	LP-NOMAG		
CB1-2a	CB1-2		This study	LP-NOMAG		
CB1-3a	CB1-3		This study	LP-NOMAG		
CB1-4a	CB1-4		This study	LP-NOMAG		
CB1-5a	CB1-5		This study	LP-NOMAG		
CB1-6a	CB1-6		This study	LP-NOMAG		
CB1-7a	CB1-7		This study	LP-NOMAG		
CB1-8a	CB1-8		This study	LP-NOMAG		
CB2-1a	CB2-1		This study	LP-NOMAG		
CB2-2a	CB2-2		This study	LP-NOMAG		
CB2-3a	CB2-3		This study	LP-NOMAG		
CB2-4a	CB2-4		This study	LP-NOMAG		
CB2-5a	CB2-5		This study	LP-NOMAG		
CB2-6a	CB2-6		This study	LP-NOMAG		
CB2-7a	CB2-7		This study	LP-NOMAG		
CB2-8a	CB2-8		This study	LP-NOMAG		
CB3-1a	CB3-1		This study	LP-NOMAG		
CB3-2a	CB3-2		This study	LP-NOMAG		
CB3-3a	CB3-3		This study	LP-NOMAG		
CB3-4a	CB3-4		This study	LP-NOMAG		
CB3-6a	CB3-6		This study	LP-NOMAG		
CB3-7a	CB3-7		This study	LP-NOMAG		
CB3-8a	CB3-8		This study	LP-NOMAG		
CB4-2a	CB4-2		This study	LP-NOMAG		
CB4-3a	CB4-3		This study	LP-NOMAG		
CB4-4a	CB4-4		This study	LP-NOMAG		
CB4-5a	CB4-5		This study	LP-NOMAG		
CB4-6a	CB4-6		This study	LP-NOMAG		
CB4-7a	CB4-7		This study	LP-NOMAG		
CB4-8a	CB4-8		This study	LP-NOMAG		
CB5-1a	CB5-1		This study	LP-NOMAG		
CB5-2a	CB5-2		This study	LP-NOMAG		
CB5-3a	CB5-3		This study	LP-NOMAG		
CB5-4a	CB5-4		This study	LP-NOMAG		
CB5-5a	CB5-5		This study	LP-NOMAG		
CB5-6a	CB5-6		This study	LP-NOMAG		
CB5-7a	CB5-7		This study	LP-NOMAG		
CB5-8a	CB5-8		This study	LP-NOMAG		
CB5-9a	CB5-9		This study	LP-NOMAG		
CB6-1a	CB6-1		This study	LP-NOMAG		
CB6-2a	CB6-2		This study	LP-NOMAG		
CB6-3a	CB6-3		This study	LP-NOMAG		
CB6-4a	CB6-4		This study	LP-NOMAG		
CB6-5a	CB6-5		This study	LP-NOMAG		
CB6-6a	CB6-6		This study	LP-NOMAG		
CB6-7a	CB6-7		This study	LP-NOMAG		
CB6-8a	CB6-8		This study	LP-NOMAG		
